track_id,album_id,artist_id,duration_sec
0,6306,449,167
1,12085,4903,185
2,1885,6358,201
3,3989,1150,263
4,11633,4447,96
5,9666,6096,221
6,4426,2029,151
7,8960,5396,192
8,11700,1884,206
9,11667,2926,206
10,4747,4067,250
11,7576,313,241
12,2685,945,158
13,4086,2303,262
14,10500,1385,165
15,5461,4903,179
16,7902,3886,267
17,2821,669,193
18,6468,5251,227
19,886,910,183
20,22,4354,213
21,6391,5562,194
22,330,884,194
23,1330,1743,245
24,4981,391,205
25,4853,4005,243
26,5630,2468,207
27,7125,517,261
28,8104,2952,224
29,470,4371,286
30,4653,5194,173
31,11873,3179,261
32,1872,1769,208
33,3032,4330,158
34,5407,1153,240
35,8539,5210,169
36,10279,5538,269
37,1970,1335,205
38,9037,4854,271
39,5832,919,172
40,4656,1776,204
41,7669,810,274
42,1862,4782,271
43,3623,4945,158
44,9646,2843,276
45,2876,334,180
46,8013,2892,305
47,6759,1307,248
48,5475,2227,225
49,8101,1516,172
50,4563,2348,203
51,9786,4456,284
52,640,1170,218
53,7853,2268,347
54,8288,1955,204
55,7178,5367,347
56,5040,3582,193
57,5409,6185,189
58,5234,5720,292
59,12402,4133,180
60,5028,3800,268
61,11661,5108,170
62,2579,6645,285
63,7013,2157,199
64,11699,6490,156
65,3141,3707,252
66,8153,5497,364
67,1181,2414,323
68,12043,2879,81
69,8666,2528,147
70,4980,1990,173
71,3172,4968,245
72,4668,5497,371
73,11440,3429,165
74,12479,3721,121
75,8744,4448,190
76,2721,1233,330
77,11304,104,237
78,2468,5066,199
79,5072,2758,240
80,11979,3413,151
81,8545,6115,205
82,4986,3002,194
83,5265,5904,489
84,12170,1850,236
85,1447,6552,282
86,12303,638,172
87,8004,2792,304
88,7931,797,201
89,4390,2187,251
90,3165,488,271
91,6660,3296,170
92,5943,5355,176
93,1042,3782,200
94,1019,1191,341
95,4187,4618,310
96,4143,2633,182
97,11878,4423,165
98,7425,201,169
99,6663,977,279
100,4343,480,277
101,5832,919,218
102,4396,3109,234
103,8301,402,217
104,10953,3782,176
105,8862,2047,283
106,9291,926,187
107,754,1354,352
108,2988,1827,301
109,812,3649,311
110,2208,1092,170
111,3651,2110,334
112,12496,5861,225
113,300,4492,223
114,1130,3625,224
115,5493,6331,239
116,2476,1561,137
117,2119,491,222
118,11663,1847,276
119,2219,3599,235
120,1721,1372,157
121,728,1720,214
122,1398,6250,224
123,561,2787,183
124,7398,3738,240
125,2672,5508,242
126,11501,1115,209
127,3671,2183,262
128,1561,2172,246
129,3603,3877,358
130,5722,4603,304
131,11850,2899,365
132,4687,6499,230
133,6439,2276,267
134,7429,5237,293
135,6318,4899,303
136,9569,2320,146
137,11313,429,206
138,3129,3230,231
139,7397,2180,214
140,11415,3966,213
141,9488,1703,178
142,6606,1986,196
143,6932,5001,329
144,4557,6393,172
145,12741,5652,201
146,5296,2589,215
147,1398,6250,179
148,3862,2094,218
149,8289,4622,233
150,8119,3771,277
151,10158,501,299
152,9969,4406,193
153,9484,1769,143
154,5777,4366,207
155,1298,4275,230
156,4778,3908,133
157,7627,611,156
158,7209,5155,257
159,5575,2577,229
160,7708,367,168
161,12136,131,168
162,4832,6018,301
163,247,1161,193
164,10267,3168,206
165,6304,2456,933
166,2463,2999,207
167,9546,1856,300
168,3156,624,234
169,4835,4761,298
170,11901,1358,177
171,9173,355,182
172,471,1881,310
173,2069,4754,222
174,11893,6117,205
175,9831,3647,183
176,2270,4853,191
177,2092,1757,157
178,4844,121,245
179,826,3025,168
180,694,4190,224
181,2402,4079,185
182,12185,2786,208
183,2846,6235,291
184,7309,2317,176
185,7002,892,305
186,4273,2720,283
187,7147,5952,265
188,8509,686,128
189,5318,5482,178
190,1353,5497,135
191,7232,3708,257
192,2081,1860,144
193,8196,5201,152
194,5029,846,231
195,5422,2812,286
196,9695,4976,248
197,12483,1655,247
198,7069,6183,225
199,11794,6309,305
200,4066,4743,158
201,7434,1264,175
202,8440,5202,228
203,1979,1503,219
204,5445,4903,288
205,3327,1129,213
206,12453,1256,310
207,12592,1916,240
208,4664,4046,207
209,12151,218,185
210,55,3015,209
211,2085,851,181
212,2340,5367,276
213,3252,5040,314
214,10253,4909,335
215,2141,2853,221
216,973,4782,311
217,1701,4892,130
218,2149,6463,201
219,2822,793,182
220,3359,4481,201
221,4600,4501,123
222,7796,5895,211
223,5633,6361,222
224,9286,1347,224
225,8691,5006,229
226,1051,6235,457
227,663,907,261
228,5470,6641,334
229,7071,1233,226
230,2920,4666,220
231,9257,6291,251
232,10788,203,329
233,1999,4782,713
234,10260,4318,218
235,7810,6288,172
236,8121,1652,172
237,4192,4961,256
238,12062,5929,276
239,6828,3559,241
240,12239,5506,257
241,11566,2480,201
242,7571,1614,294
243,8648,5290,183
244,9623,4916,218
245,531,4327,118
246,8254,545,157
247,7272,4165,141
248,12630,3455,289
249,3228,2152,347
250,4920,4427,252
251,7411,889,207
252,939,1506,229
253,9582,2213,375
254,333,3716,202
255,11580,5093,173
256,3878,3349,182
257,206,4164,134
258,1986,111,178
259,10575,1085,134
260,12643,4922,234
261,12703,1452,165
262,5249,693,249
263,12619,118,215
264,5734,1131,120
265,11004,1019,220
266,11170,5544,277
267,5792,268,246
268,7102,5420,234
269,441,2819,125
270,11818,6116,196
271,5904,3297,211
272,6112,1678,255
273,2084,5023,264
274,4585,4179,132
275,12538,165,168
276,3124,2942,202
277,8322,3965,288
278,11580,5093,221
279,2029,5053,229
280,4510,2607,188
281,3241,3829,345
282,2540,3085,362
283,4774,6043,185
284,1987,3048,181
285,1177,2031,221
286,3131,3410,224
287,2321,5149,105
288,5083,2734,269
289,1934,3482,168
290,1299,4176,56
291,6805,462,270
292,9987,6141,199
293,7150,2721,230
294,5471,1900,187
295,5001,3012,296
296,11519,5066,213
297,12495,5156,198
298,1966,3246,190
299,4250,4034,205
300,9773,4007,193
301,12613,2013,489
